name,slug
Tire Shop,tire-shop
Liquor Store,liquor-store
Supermarket,supermarket
Fitness Center,fitness-center
Dollar Store,dollar-store
Wedding Venue,wedding-venue
Family Law Attorney,family-law-attorney
General Practice Attorney,general-practice-attorney
Gutter Cleaning Service,gutter-cleaning-service
Hairdresser,hairdresser
Air Conditioning Repair Service,air-conditioning-repair-service
Window Cleaning Service,window-cleaning-service
Dental Clinic,dental-clinic
Mechanic,mechanic
Beauty Salon,beauty-salon
Construction Company,construction-company
Insurance Company,insurance-company
Baby Store,baby-store
Funeral Home,funeral-home
Law Firm,law-firm